id	isolate	aliases	country	continent	region	state	species	year	source	detailed_source	collector	location	comments	bioproject_accession	biosample_accession	NCBI_assembly_accession	run_accession	sender	curator	date_entered	datestamp	BORR05565	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
2383	S.508		Canada	North America	Ontario		Borrelia burgdorferi sensu stricto	2012	tick	Ixodes scapularis		44.35, -75.99						16	2	2018-03-13	2018-03-13		9	1	1	7	1	6	1	10	14
2384	SR.1.2		Canada	North America	Maritimes		Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis		44.53, -64.5						16	2	2018-03-13	2018-03-13		3	3	2	4	3	4	4	4	12
2385	Y11-053		Canada	North America	Maritimes		Borrelia burgdorferi sensu stricto	2011	animal host	Eastern chipmunk		43.83, -66.12						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2386	Y11-057		Canada	North America	Maritimes		Borrelia burgdorferi sensu stricto	2011	animal host	White footed mouse		43.83, -66.12						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2387	Y11-058		Canada	North America	Maritimes		Borrelia burgdorferi sensu stricto	2011	animal host	White footed mouse		43.83, -66.12						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2388	Bb16-10-2		Canada	North America	Roseau	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1832, -96.8261						16	2	2018-03-13	2018-03-13		8	1	1	1	4	16	1	7	32
2389	Bb16-15-2		Canada	North America	Roseau	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1832, -96.8261						16	2	2018-03-13	2018-03-13		7	6	12	1	2	5	5	5	46
2390	Bb16-16-1		Canada	North America	Roseau	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1832, -96.8261						16	2	2018-03-13	2018-03-13		7	6	12	1	2	5	5	5	46
2391	Bb16-17-1		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		3	3	2	2	3	4	4	4	221
2392	Bb16-22-2		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		23	1	17	20	2	1	1	10	55
2393	Bb16-23-2		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		7	6	12	1	2	5	5	5	46
2394	Bb16-105		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		8	1	1	1	4	16	1	7	32
2395	Bb16-110		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		244	2	1	2	1	16	4	2	741
2396	Bb16-111		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		18	12	1	11	2	15	1	2	29
2397	Bb16-112		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		107	2	1	95	2	18	4	3	237
2398	Bb16-122		Canada	North America	Big Grassy	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1006, -94.3151						16	2	2018-03-13	2018-03-13		23	1	17	20	2	1	1	10	55
2399	Bb16-126		Canada	North America	Big Grassy	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1006, -94.3151						16	2	2018-03-13	2018-03-13		4	4	3	3	3	21	6	3	43
2400	Bb16-128		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		4	4	3	3	3	21	6	3	43
2401	Bb16-130		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		4	4	3	3	3	21	6	3	43
2402	Bb16-132		Canada	North America	Manitou Rapids	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	48.7288, -93.9063						16	2	2018-03-13	2018-03-13		3	3	2	2	3	4	4	4	221
2403	Bb16-133		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		4	4	3	3	3	21	6	3	43
2404	Bb16-134		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		4	4	3	3	3	21	6	3	43
2405	Bb16-135		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		14	1	5	2	2	1	1	10	530
2406	Bb16-136		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		12	2	1	2	1	16	76	2	227
2407	Bb16-138		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		4	4	3	3	3	21	6	3	43
2408	Bb16-139		Canada	North America	Big Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.1455, -94.6587						16	2	2018-03-13	2018-03-13		3	3	2	2	3	4	4	4	221
2409	Bb16-142		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2410	Bb16-145		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		4	4	3	3	3	3	3	3	19
2411	Bb16-146		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2412	Bb16-149		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2413	Bb16-150		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		4	4	3	3	3	3	3	3	19
2414	Bb16-163		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		1	1	1	1	1	1	1	1	1
2415	Bb16-164		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		2	2	1	2	2	2	2	2	16
2416	Bb16-167		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		3	3	2	4	3	4	4	4	12
2417	Bb16-170		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2418	Bb16-174		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		7	6	12	1	1	5	5	5	37
2419	Bb16-175		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2420	Bb16-178-1		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2421	Bb16-178-2		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		3	3	2	4	3	4	4	4	12
2422	Bb16-181		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		4	4	3	3	3	3	3	3	19
2423	Bb16-182		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2424	Bb16-183		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		8	1	1	1	4	6	1	7	4
2425	Bb16-184		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2426	Bb16-186		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2427	Bb16-188		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		8	1	1	1	4	6	1	7	4
2428	Bb16-193-2		Canada	North America	Pictou County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	45.6806, -62.7121						16	2	2018-03-13	2018-03-13		2	2	1	2	2	2	2	2	16
2429	Bb16-198		Canada	North America	Bedford	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.7234, -63.6891						16	2	2018-03-13	2018-03-13		4	1	1	1	1	6	1	7	3
2430	Bb16-202		Canada	North America	Bedford	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.7234, -63.6891						16	2	2018-03-13	2018-03-13		2	2	1	2	2	2	2	2	16
2431	Bb16-249		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		8	1	1	1	4	6	1	7	4
2432	Bb16-250		Canada	North America	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	43.7683, -65.3182						16	2	2018-03-13	2018-03-13		3	3	2	4	3	4	4	4	12
2433	Bb16-268		Canada	North America	Lunenburg County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	44.3781, -64.3187						16	2	2018-03-13	2018-03-13		9	1	1	7	1	6	1	10	14
2434	Bb16-33-3		Canada	North America	Birch Island	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.6322, -94.5762						16	2	2018-03-13	2018-03-13		5	5	4	114	1	15	1	6	302
2435	Bb16-47		Canada	North America	Manitou Rapids	NWON	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	48.7288, -93.9063						16	2	2018-03-13	2018-03-13		19	1	5	1	2	1	1	10	30
2436	Bb16-49		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		8	1	1	1	4	16	1	7	32
2437	Bb16-52		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		20	4	3	3	3	3	3	3	31
2438	Bb16-55-1		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		7	6	12	1	2	5	5	5	46
2439	Bb16-57-1		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		18	12	1	11	2	15	1	2	29
2440	Bb16-59-1		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		8	1	15	8	12	20	1	7	51
2441	Bb16-60-1		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		18	12	1	11	2	15	1	2	29
2442	Bb16-62		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		18	12	1	11	2	15	1	2	29
2443	Bb16-66		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		107	2	1	95	2	18	4	3	237
2444	Bb16-71-2		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		4	4	3	19	3	3	3	3	44
2445	Bb16-74-1		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		14	1	5	2	2	1	1	10	530
2446	Bb16-80		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		8	1	15	94	2	20	96	7	268
2447	Bb16-85		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		20	4	3	3	3	3	3	3	31
2448	Bb16-90-2		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		20	4	3	3	3	18	3	3	229
2449	Bb16-93		Canada	North America	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	L. R. Lindsay	49.0127, -95.2396						16	2	2018-03-13	2018-03-13		155	5	4	1	5	197	1	12	641
2450	IST7		Turkey	Asia	Istanbul		Borrelia turcica	2000	tick	Hyalomma aegyptium	Ece S. Guenner							2	2	2018-04-11	2018-04-11		250	209	193	222	229	241	204	222	793
2451	EuTu92		Czech Republic	Europe	Rozarium		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus merula	Josef Heryan							39	2	2018-05-18	2018-05-18		42	27	29	92	29	36	27	33	177
2452	EuTu104		Czech Republic	Europe	Rozarium		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus merula	Josef Heryan							39	2	2018-05-18	2018-05-18		46	76	29	43	34	40	31	37	743
2453	EuTu178		Czech Republic	Europe	Dlouhá Loučka		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Ficedula albicollis	Peter Adamik							39	2	2018-05-18	2018-05-18		47	73	33	42	91	76	32	36	187
2454	EuTu185		Czech Republic	Europe	Dlouhá Loučka		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Ficedula albicollis	Peter Adamik							39	2	2018-05-18	2018-05-18		46	76	29	43	34	42	31	37	243
2455	EuTu194		Germany	Europe	Pfaffenlaich		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Niels Dingemanse							39	2	2018-05-18	2018-05-18		48	34	34	44	37	42	33	39	244
2456	EuTu236a		Germany	Europe	Bavaria		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Lucia Mentesana							39	2	2018-05-18	2018-05-18		95	74	34	96	89	78	77	85	251
2457	EuTu251		Slovenia	Europe	Vrhnika		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus merula	Tomi Trilar							39	2	2018-05-18	2018-05-18		43	28	30	39	30	87	28	34	744
2458	EuTu259		Slovenia	Europe	Vrhnika		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus merula	Tomi Trilar							39	2	2018-05-18	2018-05-18		47	73	33	42	91	76	32	36	187
2459	EuTu347		Sweden	Europe	Falsterbo		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus philomelos	Júlio Neto							39	2	2018-05-18	2018-05-18		42	27	29	38	29	36	27	79	176
2460	EuTu352		Sweden	Europe	Falsterbo		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus philomelos	Júlio Neto							39	2	2018-05-18	2018-05-18		42	33	34	36	36	38	30	38	745
2461	EuTu341		Sweden	Europe	Falsterbo		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus merula	Júlio Neto							39	2	2018-05-18	2018-05-18		42	27	29	38	29	36	27	33	86
2462	EuTu358		Sweden	Europe	Gotland		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Blandine Doligez							39	2	2018-05-18	2018-05-18		47	73	33	42	91	76	32	36	187
2463	EuTu451		The Netherlands	Europe	Westerheide		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Marcel Visser							39	2	2018-05-18	2018-05-18		46	76	30	43	34	42	31	37	746
2464	EuTu498		Finland	Europe	Hämeenlahti, Jyväskylä		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus pilaris	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		42	27	29	38	29	36	27	33	86
2465	EuTu495		Finland	Europe	Hämeenlahti, Jyväskylä		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus pilaris	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		45	30	32	36	32	38	30	36	94
2466	EuTu494		Finland	Europe	Hämeenlahti, Jyväskylä		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus pilaris	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		99	77	81	91	88	84	82	33	245
2467	EuTu490		Finland	Europe	Hämeenlahti, Jyväskylä		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus pilaris	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		99	77	81	91	88	235	82	33	747
2468	EuTu489		Finland	Europe	Hämeenlahti, Jyväskylä		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus pilaris	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		42	27	29	38	29	39	27	33	87
2469	EuTu471		Finland	Europe	Hangon lintuasema		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Turdus merula	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		47	73	33	42	91	76	32	36	187
2470	EuTu475		Finland	Europe	Hangon lintuasema		Borrelia garinii	2014	tick	nymph Ixodidae feeding on Turdus merula	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		48	34	34	44	37	42	33	39	244
2471	EuTu488		Finland	Europe	Turku, Ruissalo		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus pilaris	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		245	73	186	42	91	76	32	36	748
2472	EuTu454		Finland	Europe	Turku, Ruissalo		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Parus major	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		45	33	34	36	36	38	30	38	93
2473	EuTu456		Finland	Europe	Turku, Ruissalo		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Parus major	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		43	28	187	90	87	36	28	34	749
2474	EuTu458		Finland	Europe	Turku, Ruissalo		Borrelia garinii	2014	tick	Ixodes ricinus nymph feeding on Parus major	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		42	27	29	38	29	39	27	33	87
2475	EuTu519		Estonia	Europe	Kilingi-Nõmme		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Raivo Mand							39	2	2018-05-18	2018-05-18		44	29	31	40	223	87	80	77	750
2476	EuTu366		Sweden	Europe	Gotland		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Blandine Doligez							39	2	2018-05-18	2018-05-18		42	27	29	92	29	36	27	33	177
2477	EuTu59		Hungary	Europe	Ócsa Bird Ringing Station		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus merula	Barbara Flaisz							39	2	2018-05-18	2018-05-18		95	74	34	96	89	78	77	85	251
2478	EuTu325		Sweden	Europe	Falsterbo		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus merula	Júlio Neto							39	2	2018-05-18	2018-05-18		42	27	29	92	29	36	27	33	177
2479	EuTu476		Finland	Europe	Hangon lintuasema		Borrelia garinii	2015	tick	Ixodes ricinus nymph feeding on Turdus merula	Ina-Sabrina Tirri							39	2	2018-05-18	2018-05-18		48	34	33	44	37	42	42	39	751
2480	EuTu115		Czech Republic	Europe	Grygov		Borrelia afzelii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Josef Heryan							39	2	2018-05-18	2018-05-18		51	24	23	86	85	27	23	29	215
2481	EuTu170		Hungary	Europe	Pilis mountains		Borrelia afzelii	2015	tick	Ixodes ricinus nymph feeding on Cyanistes caeruleus	Janos Torok							39	2	2018-05-18	2018-05-18		36	150	23	35	117	172	23	28	752
2482	EuTu377		Sweden	Europe	Gotland		Borrelia afzelii	2015	tick	Ixodes ricinus nymph feeding on Ficedula albicolis	Blandine Doligez							39	2	2018-05-18	2018-05-18		36	24	132	32	118	30	23	28	471
2483	EuTu438		The Netherlands	Europe	Hoge Veluwe		Borrelia afzelii	2015	tick	Ixodes ricinus nymph feeding on Parus major	Marcel Visser							39	2	2018-05-18	2018-05-18		109	24	23	31	23	30	23	28	753
2484	CNH18-1		South Korea	Asia	Chungcheong	Jeolla	Borrelia afzelii	2018	human	serum								50	2	2018-08-10	2018-08-10			202	185	224		231		215	
2485	CRI		Morocco	Africa			Borrelia hispanica		tick	Ornithodoros erraticus								45	2	2018-09-06	2018-09-06		255	210	196	225	232	244	206	227	805
2486	Nov15-2666-Ipr		Russia [Asia]	Asia	Novosibirsk Province, Toguchin District		Borrelia miyamotoi	2015	tick	Ixodes persulcatus	G. Kaverina							41	2	2018-10-25	2022-11-17		199	112	63	78	183	190	159	63	633
2487	Nov15-2945-Ipr		Russia [Asia]	Asia	Novosibirsk Province, Shadricha River		Borrelia valaisiana	2015	tick	Ixodes persulcatus	N. Livanova							41	2	2018-10-25	2022-11-17		50	36	36	45	38	44	35	40	97
2488	Om16-103-Iapr		Russia [Asia]	Asia	Omsk Province, Bolsheuk District		Borrelia sp.	2016	tick	Ixodes apronophorus	V. Yakimenko		Candidatus B. sibirica					41	2	2018-10-25	2025-06-12		256	211	197	226	233	245	207	228	806
2489	Alt17-64		Russia [Asia]	Asia	Republic of Altai		Borrelia sp.	2017	animal host	Sorex sp.	A. Tikunov		Candidatus B. sibirica					41	2	2018-10-25	2025-06-12		256	211	197	226	233	245	207	228	806
2490	MH2016F6		Slovakia	Europe	Martinské hole mountain		Borrelia garinii	2016	tick	Ixodes ricinus	Chvostáč	49.085464, 18.863042	1					55	2	2019-02-08	2019-04-01		42	27	29	38	29	36	27	33	86
2491	6-13/4		Finland	Europe	Pensaari		Borrelia garinii	2012	tick	Ixodes ricinus	Voutilainen	60.203056, 23.949722	2					55	2	2019-02-08	2022-05-12		44	29	31	40	31	37	29	35	89
2492	SMHF128		Slovakia	Europe	Martinské hole mountain		Borrelia afzelii	2013	tick	Ixodes ricinus	Tarageľová	49.085464, 18.863042	3					55	2	2019-02-08	2022-05-12		36	24	23	32	96	27	23	28	893
2493	6-13-13		Finland	Europe	Pensaari		Borrelia afzelii	2012	tick	Ixodes ricinus	Voutilainen	60.203056, 23.949722	4; NB: mixed species alleles as recG allele 37 is mostly found in B. garinii					55	202	2019-02-08	2024-11-06		39	24	24	31	22	37	23	28	894
2494	6-13-EW64		Finland	Europe	Pensaari		Borrelia afzelii	2012	tick	Ixodes ricinus	Voutilainen	60.203056, 23.949722	5					55	2	2019-02-08	2019-02-08		37	24	24	31	85	27	23	28	895
2495	8-13-EW152		Finland	Europe	Pensaari		Borrelia afzelii	2013	tick	Ixodes ricinus	Voutilainen	60.203056, 23.949722	6					55	2	2019-02-08	2019-02-08		36	24	23	31	92	27	23	28	896
2496	6-13-EW60		Finland	Europe	Pensaari		Borrelia garinii	2012	tick	Ixodes ricinus	Voutilainen	60.203056, 23.949722	7					55	2	2019-02-08	2019-02-08		43	28	30	90	87	36	28	34	180
2497	plch23231		Slovakia	Europe	Hrhov		Borrelia afzelii	2014	animal host	G. glis ear lobe	Stanko et al.	48.581639, 20.779056	8					55	2	2019-02-08	2019-02-08		294	24	24	85	57	27	23	28	897
2498	plch23235		Slovakia	Europe	Hrhov		Borrelia afzelii	2014	animal host	G. glis ear lobe	Stanko et al.	48.581639, 20.779056	8					55	2	2019-02-08	2019-02-08		295	24	24	31	20	27	23	29	898
2499	13NCHG		Croatia	Europe	Grabovac		Borrelia afzelii	2011	tick	Ixodes ricinus	Stanko et al.	44.971317, 15.640267	10					55	2	2019-02-08	2022-01-20		296	150	24	35	117	172	23	28	899
2500	82NCHG		Croatia	Europe	Grabovac		Borrelia lusitaniae	2011	tick	Ixodes ricinus	Stanko et al.	44.971317, 15.640267	11					55	2	2019-02-08	2022-01-20		101	22	20	123	18	171	250	261	900
2501	DMQ12		Slovakia	Europe	Drienovec		Borrelia afzelii	2017	tick	Questing tick Ixodes ricinus	R. Václav	48.615562, 20.915193						55	2	2019-03-12	2019-03-12		36	24	25	31	116	52	23	156	901
2502	16DIVN1		Slovakia	Europe	Drienovec		Borrelia afzelii	2017	tick	Ixodes ricinus nymph feeding on Erithacus rubecula	R. Václav	48.615562, 20.915193						55	2	2019-03-12	2019-03-12		36	24	25	31	116	52	23	156	901
2503	15DVIIN1		Slovakia	Europe	Drienovec		Borrelia afzelii	2017	tick	Ixodes ricinus nymph feeding on Erithacus rubecula	R. Václav	48.615562, 20.915193						55	2	2019-03-12	2019-03-12		39	24	24	31	22	29	23	29	479
