Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Borrelia duttonii CR2A		strain: CR2A	1432657	BOR_261	GCF_000523535.1	RefSeq	GCF_000523535.1-RS_2026_02_09	Contig	907993	1640950	2014-01-27	1714	PRJNA230496	SAMN02641560
Borrelia anserina BA2		strain: BA2	1313293	ASM56865v1	GCF_000568655.1	RefSeq	GCF_000568655.1-RS_2025_12_12	Chromosome	904790	1147345	2014-01-27	1102	PRJNA195596	SAMN03081464
Borrelia nietonii YOR		strain: YOR	1293576	ASM56867v1	GCF_000568675.1	RefSeq	GCF_000568675.1-RS_2026_02_04	Chromosome	919292	1394607	2014-01-27	1443	PRJNA189058	SAMN03081451
Borrelia crocidurae DOU		strain: DOU	1293575	ASM56871v1	GCF_000568715.1	RefSeq	GCF_000568715.1-RS_2025_06_02	Chromosome	916000	1767001	2014-01-27	1767	PRJNA189057	SAMN03081453
Borrelia parkeri SLO		strain: SLO	1313294	ASM56873v2	GCF_000568735.2	RefSeq	GCF_000568735.2-RS_2025_04_05	Chromosome	917680	1053291	2016-10-06	1057	PRJNA195597	SAMN03081465
Borrelia coriaceae ATCC 43381		strain: Co53	1408429	ASM56875v1	GCF_000568755.1	RefSeq	GCF_000568755.1-RS_2025_08_07	Chromosome	912832	1730484	2014-01-27	1751	PRJNA195595	SAMN03081463
Borrelia hermsii YBT		strain: YBT	1313295	ASM56877v1	GCF_000568775.1	RefSeq	GCF_000568775.1-RS_2025_04_04	Chromosome	919983	1377933	2014-01-27	1387	PRJNA195598	SAMN03081462
Borrelia hermsii MTW		strain: MTW	1313291	ASM56879v1	GCF_000568795.1	RefSeq	GCF_000568795.1-RS_2025_03_30	Chromosome	920644	1319405	2014-01-27	1288	PRJNA195594	SAMN03081461
Borrelia miyamotoi		strain: CT14D4	47466	ASM80729v1	GCF_000807295.1	RefSeq	GCF_000807295.1-RS_2025_07_15	Complete Genome	907293	907293	2014-12-23	865	PRJNA269604	SAMN03255733
Borrelia crocidurae		strain: 03-02	29520	Borrelia crocidurae str. 03-02	GCF_000825665.2	RefSeq	GCF_000825665.2-RS_2024_05_04	Scaffold	13697	920157	2014-09-18	902	PRJEB7269	SAMEA2768622
Borrelia hermsii CC1		strain: CC1	1329908	ASM95631v1	GCF_000956315.1	RefSeq	GCF_000956315.1-RS_2026_01_15	Complete Genome	922280	922280	2015-03-19	872	PRJNA201001	SAMN03408291
Borrelia hermsii		strain: DAH-2E7	140	ASM159819v1	GCF_001598195.1	RefSeq	GCF_001598195.1-RS_2026_03_03	Chromosome	927432	1399024	2016-03-28	1381	PRJNA314817	SAMN04544264
Borrelia hermsii HS1		isolate: Browne Mountain, strain: HS1	1867252	ASM166000v1	GCF_001660005.1	RefSeq	GCF_001660005.1-RS_2025_03_30	Complete Genome	922500	1390006	2016-04-22	1373	PRJNA311246	SAMN04481062
Borrelia miyamotoi		strain: CT13-2396	47466	ASM176741v1	GCF_001767415.1	RefSeq	GCF_001767415.1-RS_2026_02_11	Chromosome	907278	1277895	2016-10-18	1282	PRJNA310783	SAMN04455594
Borrelia anserina Es		isolate: UTHSCSA, strain: Es	1365188	ASM193625v1	GCF_001936255.1	RefSeq	GCF_001936255.1-RS_2025_03_05	Complete Genome	906833	1042690	2017-01-05	985	PRJNA212123	SAMN04359737
Borrelia miyamotoi		strain: Izh-5	47466	ASM274166v3	GCF_002741665.3	RefSeq	GCF_002741665.3-RS_2025_04_25	Complete Genome	906442	1489212	2023-02-03	1571	PRJNA406856	SAMN07572562
Borrelia miyamotoi		strain: Yekat-6	47466	ASM274176v2	GCF_002741765.2	RefSeq	GCF_002741765.2-RS_2025_06_11	Complete Genome	906394	1325401	2023-02-17	1353	PRJNA406856	SAMN07572566
Borrelia miyamotoi		strain: Yekat-1	47466	CRIE_YEK1v5	GCF_002741785.2	RefSeq	GCF_002741785.2-RS_2025_05_11	Complete Genome	906416	1478370	2023-02-17	1555	PRJNA406856	SAMN07572565
Borrelia miyamotoi		strain: Izh-16	47466	CRIE_IZH16v5	GCF_002741805.2	RefSeq	GCF_002741805.2-RS_2025_05_11	Complete Genome	906316	1464580	2023-02-17	1540	PRJNA406856	SAMN07572564
Borrelia miyamotoi		strain: Izh-14	47466	ASM274182v3	GCF_002741825.2	RefSeq	GCF_002741825.2-RS_2025_03_21	Complete Genome	906312	1503876	2023-01-25	1559	PRJNA406856	SAMN07572563
Borrelia miyamotoi		strain: Izh-4	47466	ASM274184v4	GCF_002741845.3	RefSeq	GCF_002741845.3-RS_2025_06_11	Complete Genome	906352	1432067	2023-04-25	1495	PRJNA406856	SAMN07572561
Borrelia miyamotoi		strain: CA17-2241	47466	ASM343184v1	GCF_003431845.1	RefSeq	GCF_003431845.1-RS_2025_03_31	Complete Genome	905840	978929	2017-08-01	933	PRJNA389685	SAMN07205076
Borrelia turicatae		strain: BTE5EL	142	ASM356864v1	GCF_003568645.1	RefSeq	GCF_003568645.1-RS_2025_03_29	Complete Genome	925547	1305758	2016-05-19	1254	PRJNA318287	SAMN04695901
Borrelia turcica IST7		strain: IST7	1104446	ASM360628v1	GCF_003606285.1	RefSeq	GCF_003606285.1-RS_2025_03_28	Complete Genome	957653	1283624	2018-10-01	1285	PRJNA449848	SAMN08918700
Borrelia miyamotoi		strain: Yekat-76	47466	CRIE_YEK76v5	GCF_004353385.2	RefSeq	GCF_004353385.2-RS_2025_05_21	Complete Genome	906254	1414566	2023-03-10	1463	PRJNA406856	SAMN10979512
Borrelia miyamotoi		strain: Yekat-31	47466	ASM435340v1	GCF_004353405.1	RefSeq	GCF_004353405.1-RS_2025_06_04	Chromosome	905857	1398278	2019-03-10	1513	PRJNA406856	SAMN10979511
Borrelia miyamotoi		strain: Yekat-21	47466	CRIE_YEK21v5	GCF_004353425.2	RefSeq	GCF_004353425.2-RS_2025_05_21	Complete Genome	906439	1470017	2023-03-10	1524	PRJNA406856	SAMN10979510
Borrelia miyamotoi		strain: Yekat-19	47466	CRIE_YEK19v5	GCF_004353445.2	RefSeq	GCF_004353445.2-RS_2025_05_21	Complete Genome	906558	1396662	2023-03-10	1447	PRJNA406856	SAMN10979509
Borrelia miyamotoi		strain: Yekat-17	47466	CRIE_YEK17v5	GCF_004353465.2	RefSeq	GCF_004353465.2-RS_2025_05_09	Complete Genome	906441	1545852	2023-02-24	1650	PRJNA406856	SAMN10979508
Borrelia miyamotoi		strain: Yekat-18	47466	CRIE_YEK18v5	GCF_004354445.2	RefSeq	GCF_004354445.2-RS_2025_05_09	Complete Genome	908635	1473265	2023-02-24	1543	PRJNA406856	SAMN10979507
Borrelia maritima		strain: CA690	2761123	ASM893184v1	GCF_008931845.1	RefSeq	GCF_008931845.1-RS_2026_02_22	Complete Genome	902176	1109596	2019-10-09	1079	PRJNA450015	SAMN08925038
Borrelia miyamotoi		strain: NL-IR-2	47466	NL-IR-2	GCF_009257425.1	RefSeq	GCF_009257425.1-RS_2025_06_04	Chromosome	905334	1292279	2019-10-13	1353	PRJNA573610	SAMN12826993
Borrelia miyamotoi		strain: NL-IR-1	47466	NL-IR-1	GCF_009258445.2	RefSeq	GCF_009258445.2-RS_2025_04_27	Complete Genome	904904	1500460	2024-01-31	1559	PRJNA573610	SAMN12826994
Borrelia miyamotoi		strain: CZ-F190E	47466	ASM973404v1	GCF_009734045.1	RefSeq	GCF_009734045.1-RS_2025_04_03	Complete Genome	904095	904095	2019-12-07	861	PRJNA591086	SAMN13351968
Borrelia miyamotoi		strain: CZ-F1E	47466	ASM973406v1	GCF_009734065.1	RefSeq	GCF_009734065.1-RS_2025_04_03	Complete Genome	904129	904129	2019-12-07	862	PRJNA591086	SAMN13351967
Borrelia sp. A-FGy1		strain: A-FGy1	2608247	ASM1408402v1	GCF_014084025.1	RefSeq	GCF_014084025.1-RS_2024_05_16	Chromosome	339160	1236294	2020-08-06	1152	PRJNA563856	SAMN12690807
Borrelia miyamotoi		strain: LB-2001	47466	ASM1774808v1	GCF_017748085.1	RefSeq	GCF_017748085.1-RS_2025_06_11	Complete Genome	907295	1334387	2021-04-05	1372	PRJNA717392	SAMN18499016
Borrelia miyamotoi		strain: HT31	47466	ASM1966850v1	GCF_019668505.1	RefSeq	GCF_019668505.1-RS_2025_03_30	Complete Genome	906165	906165	2021-06-26	861	PRJDB10961	SAMD00264446
Borrelia miyamotoi		strain: HT24	47466	ASM1966852v1	GCF_019668525.1	RefSeq	GCF_019668525.1-RS_2025_03_31	Complete Genome	906376	906376	2021-06-26	861	PRJDB10961	SAMD00264447
Borrelia miyamotoi		strain: Hk004	47466	ASM1966854v1	GCF_019668545.1	RefSeq	GCF_019668545.1-RS_2025_04_01	Complete Genome	905693	905693	2021-06-26	860	PRJDB10961	SAMD00264448
Borrelia miyamotoi		strain: NB103/1	47466	ASM1966856v1	GCF_019668565.1	RefSeq	GCF_019668565.1-RS_2025_03_31	Complete Genome	906055	906055	2021-06-26	858	PRJDB10961	SAMD00264449
Borrelia miyamotoi		strain: MYK1	47466	ASM1966858v1	GCF_019668585.1	RefSeq	GCF_019668585.1-RS_2025_03_31	Complete Genome	905196	905196	2021-06-26	859	PRJDB10961	SAMD00264450
Borrelia miyamotoi		strain: MYK2	47466	ASM1966860v1	GCF_019668605.1	RefSeq	GCF_019668605.1-RS_2025_03_31	Complete Genome	906441	906441	2021-06-26	864	PRJDB10961	SAMD00264451
Borrelia miyamotoi		strain: MYK3	47466	ASM1966862v1	GCF_019668625.1	RefSeq	GCF_019668625.1-RS_2025_03_31	Complete Genome	905982	905982	2021-06-26	859	PRJDB10961	SAMD00264452
Borrelia miyamotoi		strain: MYK4	47466	ASM1966864v1	GCF_019668645.1	RefSeq	GCF_019668645.1-RS_2025_03_30	Complete Genome	905872	905872	2021-06-26	858	PRJDB10961	SAMD00264453
Borrelia miyamotoi		strain: MYK5	47466	ASM1966866v1	GCF_019668665.1	RefSeq	GCF_019668665.1-RS_2025_03_31	Complete Genome	906015	906015	2021-06-26	860	PRJDB10961	SAMD00264454
Borrelia miyamotoi		strain: M12C4	47466	ASM1966868v1	GCF_019668685.1	RefSeq	GCF_019668685.1-RS_2025_03_30	Complete Genome	906281	906281	2021-06-26	859	PRJDB10961	SAMD00264455
Borrelia miyamotoi		strain: M15A8	47466	ASM1966870v1	GCF_019668705.1	RefSeq	GCF_019668705.1-RS_2025_04_01	Complete Genome	905679	905679	2021-06-26	860	PRJDB10961	SAMD00264456
Borrelia miyamotoi		strain: M20E6	47466	ASM1966882v1	GCF_019668825.1	RefSeq	GCF_019668825.1-RS_2025_04_01	Complete Genome	906111	906111	2021-06-26	862	PRJDB10961	SAMD00264457
Borrelia miyamotoi		strain: Y14T1	47466	ASM1966892v1	GCF_019668925.1	RefSeq	GCF_019668925.1-RS_2025_04_01	Complete Genome	905843	905843	2021-06-26	860	PRJDB10961	SAMD00264458
Borrelia miyamotoi		strain: Y15T1	47466	ASM1966900v1	GCF_019669005.1	RefSeq	GCF_019669005.1-RS_2025_04_01	Complete Genome	905723	905723	2021-06-26	862	PRJDB10961	SAMD00264459
Borrelia miyamotoi		strain: Y14T18	47466	ASM1966902v1	GCF_019669025.1	RefSeq	GCF_019669025.1-RS_2025_04_02	Complete Genome	904736	904736	2021-06-26	858	PRJDB10961	SAMD00264460
Borrelia sp. HM		strain: tHM16w	1882662	ASM1966908v1	GCF_019669085.1	RefSeq	GCF_019669085.1-RS_2024_05_16	Complete Genome	914768	914768	2021-06-26	855	PRJDB10961	SAMD00264461
Borrelia hermsii		strain: ML2	140	ASM2042292v2	GCF_020422925.2	RefSeq	GCF_020422925.2-RS_2025_03_28	Complete Genome	922482	1161689	2022-09-02	1098	PRJNA762107	SAMN21374108
Borrelia hermsii		strain: ML1	140	ASM2086552v1	GCF_020865525.1	RefSeq	GCF_020865525.1-RS_2025_03_08	Complete Genome	922239	922239	2021-11-15	870	PRJNA767670	SAMN21924093
Borrelia sp. BU AG58		isolate: BU AG58	2887345	ASM2088201v2	GCF_020882015.2	RefSeq	GCF_020882015.2-RS_2024_09_06	Complete Genome	907848	907848	2023-07-21	861	PRJNA774887	SAMN22589702
Borrelia sp. RT5S		strain: RT5S	2898581	ASM2116575v1	GCF_021165755.1	RefSeq	GCF_021165755.1-RS_2024_08_18	Complete Genome	942663	1181605	2021-12-12	1165	PRJNA783659	SAMN23441572
Borrelia sp. RT1S		strain: RT1S	2898580	ASM2116577v2	GCF_021165775.2	RefSeq	GCF_021165775.2-RS_2024_12_29	Complete Genome	952250	1249215	2021-12-12	1254	PRJNA783659	SAMN23441571
Borrelia coriaceae		strain: Co53	144	ASM2303529v1	GCF_023035295.1	RefSeq	GCF_023035295.1-RS_2025_05_08	Complete Genome	920509	1787333	2022-04-18	1767	PRJNA637792	SAMN18441555
Borrelia turicatae		strain: BTE5EL	142	ASM2303541v1	GCF_023035415.1	RefSeq	GCF_023035415.1-RS_2025_06_12	Complete Genome	925548	1612777	2022-04-18	1644	PRJNA637792	SAMN18441558
Borrelia anserina		strain: BA2	143	ASM2303557v1	GCF_023035575.1	RefSeq	GCF_023035575.1-RS_2025_05_08	Complete Genome	906429	1054469	2022-04-18	999	PRJNA637792	SAMN18441552
Borrelia hermsii DAH		strain: DAH	314723	ASM2303567v1	GCF_023035675.1	RefSeq	GCF_023035675.1-RS_2025_03_30	Complete Genome	927976	1498568	2022-04-18	1516	PRJNA637792	SAMN18441553
Borrelia nietonii YOR		strain: YOR	1293576	ASM2303579v1	GCF_023035795.1	RefSeq	GCF_023035795.1-RS_2025_12_11	Complete Genome	929359	1579967	2022-04-18	1656	PRJNA637792	SAMN18441554
Borrelia parkeri		strain: SLO	141	ASM2303581v1	GCF_023035815.1	RefSeq	GCF_023035815.1-RS_2025_06_11	Complete Genome	926405	1599772	2022-04-18	1603	PRJNA637792	SAMN18441556
Borrelia venezuelensis		strain: RMA01	1653839	ASM2303583v1	GCF_023035835.1	RefSeq	GCF_023035835.1-RS_2025_06_21	Complete Genome	926328	1282705	2022-04-18	1245	PRJNA637792	SAMN15156993
Borrelia turicatae 91E135		strain: 91E135	314724	ASM2303585v1	GCF_023035855.1	RefSeq	GCF_023035855.1-RS_2025_05_08	Complete Genome	925473	1564967	2022-04-18	1581	PRJNA637792	SAMN18441557
Borrelia puertoricensis		strain: SUM	2756107	ASM2303587v1	GCF_023035875.1	RefSeq	GCF_023035875.1-RS_2025_05_26	Complete Genome	109607	1868579	2022-04-18	1996	PRJNA637792	SAMN19000909
Borrelia miyamotoi		strain: HT-31	47466	ASM2728598v1	GCF_027285985.1	RefSeq	GCF_027285985.1-RS_2025_03_18	Complete Genome	906533	1422053	2022-12-26	1476	PRJNA912871	SAMN32260478
Borrelia miyamotoi		strain: ZStruIII14-9	47466	ASM2728600v1	GCF_027286005.1	RefSeq	GCF_027286005.1-RS_2025_01_08	Complete Genome	904917	1539494	2022-12-26	1616	PRJNA912871	SAMN32260479
Borrelia miyamotoi		strain: 1995	47466	ASM2728610v1	GCF_027286105.1	RefSeq	GCF_027286105.1-RS_2025_03_18	Complete Genome	907149	1332630	2022-12-26	1369	PRJNA912871	SAMN32260475
Borrelia miyamotoi		strain: 410	47466	ASM2728612v1	GCF_027286125.1	RefSeq	GCF_027286125.1-RS_2025_03_18	Complete Genome	907276	1337417	2022-12-26	1373	PRJNA912871	SAMN32260473
Borrelia miyamotoi		strain: LB-2001	47466	ASM2728614v1	GCF_027286145.1	RefSeq	GCF_027286145.1-RS_2025_03_18	Complete Genome	907297	1340654	2022-12-26	1377	PRJNA912871	SAMN32260477
Borrelia miyamotoi		strain: 1938	47466	ASM2728616v1	GCF_027286165.1	RefSeq	GCF_027286165.1-RS_2025_03_18	Complete Genome	907298	1335541	2022-12-26	1377	PRJNA912871	SAMN32260474
Borrelia miyamotoi		strain: 483	47466	ASM2728618v1	GCF_027286185.1	RefSeq	GCF_027286185.1-RS_2025_03_18	Complete Genome	907218	1338449	2022-12-26	1376	PRJNA912871	SAMN32260472
Borrelia miyamotoi		strain: CT14D4	47466	ASM2728620v1	GCF_027286205.1	RefSeq	GCF_027286205.1-RS_2025_03_18	Complete Genome	907269	1383961	2022-12-26	1424	PRJNA912871	SAMN32260480
Borrelia miyamotoi		strain: 1999	47466	ASM2728622v1	GCF_027286225.1	RefSeq	GCF_027286225.1-RS_2025_03_18	Complete Genome	907270	1357715	2022-12-26	1392	PRJNA912871	SAMN32260476
Candidatus Borrelia fainii		isolate: Qtaro, strain: Qtaro	2518322	ASM2792508v1	GCF_027925085.1	RefSeq	GCF_027925085.1-RS_2025_05_11	Complete Genome	951861	1195152	2022-12-27	1139	PRJDB14772	SAMD00557599
Borrelia sp. P9F1		strain: P9F1	3058374	ASM3043611v1	GCF_030436115.1	RefSeq	GCF_030436115.1-RS_2024_07_20	Chromosome	187056	1186527	2023-07-12	1180	PRJNA774887	SAMN35992424
Borrelia sp. CA_690		strain: CA_690	2419518	ASM3044027v2	GCF_030440275.2	RefSeq	GCF_030440275.2-RS_2025_03_06	Complete Genome	902186	1112972	2025-02-27	1082	PRJNA431102	SAMN10141390
Borrelia turicatae		strain: BTCAM1	142	ASM3636296v1	GCF_036362965.1	RefSeq	GCF_036362965.1-RS_2026_02_04	Complete Genome	925885	1575041	2024-02-05	1577	PRJNA990475	SAMN36268382
Borrelia miyamotoi		strain: MN18-0001	47466	ASM3965665v1	GCF_039656655.1	RefSeq	GCF_039656655.1-RS_2025_05_28	Complete Genome	907191	1449837	2024-05-18	1515	PRJNA1088750	SAMN40496904
Borrelia hermsii		strain: HSI-sero26	140	ASM4079069v1	GCF_040790695.1	RefSeq	GCF_040790695.1-RS_2025_04_14	Complete Genome	925962	1441532	2024-07-22	1444	PRJNA1130942	SAMN42233989
Borrelia recurrentis		strain: PAbN	44449	ASM4246653v1	GCF_042466535.1	RefSeq	GCF_042466535.1-RS_2024_10_02	Complete Genome	932342	1284144	2024-10-10	1264	PRJNA1157803	SAMN43522902
Borrelia recurrentis		strain: PBeK	44449	ASM4246654v1	GCF_042466545.1	RefSeq	GCF_042466545.1-RS_2024_10_02	Complete Genome	932332	1284107	2024-10-10	1266	PRJNA1157803	SAMN43522901
Borrelia recurrentis		strain: PAbJ	44449	ASM4246655v1	GCF_042466555.1	RefSeq	GCF_042466555.1-RS_2024_10_02	Complete Genome	932347	1288942	2024-10-10	1274	PRJNA1157803	SAMN43522900
Borrelia recurrentis		strain: A17	44449	ASM4246656v1	GCF_042466565.1	RefSeq	GCF_042466565.1-RS_2024_10_02	Complete Genome	932354	1284120	2024-10-10	1265	PRJNA1157803	SAMN43522899
Borrelia recurrentis		strain: A11	44449	ASM4246657v1	GCF_042466575.1	RefSeq	GCF_042466575.1-RS_2024_10_02	Complete Genome	932334	1289858	2024-10-10	1276	PRJNA1157803	SAMN43522898
Borrelia recurrentis A1		strain: A1	412418	ASM4246658v1	GCF_042466585.1	RefSeq	GCF_042466585.1-RS_2024_10_02	Complete Genome	932334	1278199	2024-10-10	1262	PRJNA1157803	SAMN43522897
Borrelia sp. MN22-0132		strain: MN22-0132	3085635	ASM4920103v1	GCF_049201035.1	RefSeq	GCF_049201035.1-RS_2025_04_02	Complete Genome	927815	927815	2025-04-03	882	PRJNA1032573	SAMN37997362
Borrelia puertoricensis		strain: CAU1	2756107	ASM5113251v1	GCF_051132515.1	RefSeq	GCF_051132515.1-RS_2025_06_29	Complete Genome	928012	1825981	2025-06-30	1886	PRJNA1088751	SAMN40496905
Borrelia miyamotoi		strain: M1-2Br	47466	ASM5538999v1	GCF_055389995.1	RefSeq	GCF_055389995.1-RS_2026_02_24	Complete Genome	905815	1354804	2026-02-24	1400		SAMD00264445
Borrelia miyamotoi		strain: MYK4	47466	ASM5539758v1	GCF_055397585.1	RefSeq	GCF_055397585.1-RS_2026_02_24	Complete Genome	908378	908378	2026-02-24	863		SAMD00896533
Borrelia miyamotoi		strain: MYK2	47466	ASM5539775v1	GCF_055397755.1	RefSeq	GCF_055397755.1-RS_2026_02_24	Complete Genome	906205	906205	2026-02-24	859		SAMD00896532
Borrelia tillae		strain: Krampitz	1653838	ASM5569396v1	GCF_055693965.1	RefSeq	GCF_055693965.1-RS_2026_03_07	Complete Genome	918601	1208630	2026-03-06	1182	PRJNA1346408	SAMN53417731
